Feature,Importance
molecular_weight,0.10660260889544179
Cl1,0.05655704563564337
Cl2,0.034051579708481876
Cl3,0.01639710551587112
Cl4,0.0034980949724057304
Br1,0.21359343199229772
Br2,0.0
F1,0.01118899347281122
F2,0.007320026597887742
F3,0.005167882444760271
F4,0.0
F5,0.0
F6,0.0
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
I1,0.0
num_C,0.05106781288741286
num_H,0.07064104738038614
num_Cl,0.04124850199399659
num_Br,0.12736261921647468
num_F,0.01067245755523835
num_I,0.0
num_D,0.0
electron_affinity,0.0
lowest_bde,0.13052544401110608
mean_bde,0.11410534771978455
