Feature,Importance
molecular_weight,276
num_C,108
num_H,464
num_Cl,33
num_Br,1
num_F,28
num_I,0
num_D,0
num_O,0
num_N,0
Cl1,341
Cl2,0
Cl3,0
Cl4,0
Cl5,0
Br1,42
Br2,0
Br3,0
Br4,0
F1,0
F2,0
F3,0
F4,0
F6,0
F11,0
F13,0
F15,0
F19,0
I1,0
I2,0
electron_affinity,163
mean_bde,455
th_energy,300
