Feature,Importance
molecular_weight,0.09053523683234803
Cl1,0.11393699729249025
Cl2,0.055779944095735064
Cl3,0.03428850708883651
Cl4,0.00406769817872225
Br1,0.02843548220014286
Br2,0.0
F1,0.028094333720419088
F2,0.013081838750171814
F3,0.008159285305806497
F4,0.0
F5,0.0
F6,0.0
F7,0.0
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
I1,0.0
num_C,0.057358873126581035
num_H,0.11941455859431203
num_Cl,0.06456469850255915
num_Br,0.023537368843787095
num_F,0.023155291019382934
num_I,0.0
num_D,0.0
electron_affinity,0.0
lowest_bde,0.17320961777495547
mean_bde,0.16238026867374994
