Feature,Importance
molecular_weight,0.04963182389352501
num_C,0.018155978354480157
num_H,0.03602001882749676
num_Cl,0.016557041491442086
num_Br,0.007199224299287699
num_F,0.06117824754956715
num_I,0.006051659425519421
num_D,0.00012523182899675325
num_O,0.021813719760831535
num_N,0.00227703383290699
Cl1,0.028065116092162414
Cl2,0.003764941728014648
Cl3,0.001544335832697537
Cl4,0.00026269650735893945
Cl5,4.0683257000293154e-05
Br1,0.01714172901950093
Br2,0.0018339979141142782
Br3,6.97559987734566e-05
Br4,7.415521194170577e-05
F1,0.037344188867374284
F2,0.04797510350671305
F3,0.027720656872200336
F4,0.027514772245713876
F6,0.026006981511546876
F11,0.014823563285967992
F13,0.006442320940386654
F15,0.002464118059136407
F19,0.000284735649732302
I1,0.007557950546198208
I2,6.44973637908729e-05
electron_affinity,0.03920569183643365
mean_bde,0.25219018501172935
th_energy,0.23859784347745847
