Feature,Importance
molecular_weight,0.02897919998067227
Cl1,0.011976282432546378
Cl2,0.0016154371821754461
Cl3,0.0001797724863430957
Cl4,0.0
Br1,0.0011263592596477065
Br2,0.0
F1,0.002304425927339436
F2,0.0024957725236013427
F3,0.0
F4,0.02916839021168442
F5,0.0
F6,0.006597713647651197
F7,0.0008488894752964574
F8,0.0
F9,0.0
F10,0.0
F11,0.0
F12,0.0
F13,0.0
F14,0.0
I1,0.0
num_C,0.00716406823148413
num_H,0.011775738869969346
num_Cl,0.0031605031146862005
num_Br,0.00038618232995328523
num_F,0.04207344073059725
num_I,0.0
num_D,0.0
electron_affinity,1.112480728628697e-05
lowest_bde,0.41845332442535266
mean_bde,0.4316833743637132
