Feature,Importance
molecular_weight,0.05624720807190488
num_C,0.005054770144716383
num_H,0.023781604483353674
num_Cl,0.00217675740506932
num_Br,0.0004116359312865633
num_F,0.00229374848456705
num_I,3.712921805101696e-05
num_D,0.0
num_O,0.01349833426736432
num_N,0.0002138349485272596
Cl1,0.02375557052888972
Cl2,0.0008647311442156278
Cl3,0.00010749128629605772
Cl4,2.3863408897007526e-05
Cl5,0.0
Br1,0.0009072967859939144
Br2,7.599178467299003e-05
Br3,1.9323701452049726e-05
Br4,0.0
F1,0.001570790637043907
F2,0.0009074243568079795
F3,0.0009968402182255409
F4,0.0023532433870659276
F6,0.0011664372322201383
F11,0.00024387403822486475
F13,0.00014976554894945683
F15,0.0
F19,0.0
I1,0.00012709724229007603
I2,0.0
electron_affinity,0.00048229470163940345
mean_bde,0.53429342564446
th_energy,0.3282395153978148
