Feature,Importance
molecular_weight,0.058162318547895456
Cl1,0.020081628227760256
Cl2,0.001591461099361172
Cl3,8.131269285670826e-05
Cl4,6.28383352754045e-05
Cl5,0.0
Cl6,0.0
Br1,0.001156171210423415
Br2,2.5009882752056193e-05
Br3,1.5027222782718812e-05
Br4,0.0
Br5,0.0
Br6,0.0
Br7,0.0
Br8,0.0
Br9,0.0
Br10,0.0
F1,0.0008574732264653237
F2,0.00019963294647051843
F3,0.00017613065985275776
F4,0.0007928102105193567
F5,0.00035780667040468804
F6,3.209150361486019e-05
F7,0.0002949668689347947
F8,5.805211125606361e-05
F9,0.0
F10,6.1410575798056e-05
F11,0.00022426106367068733
F12,0.0
F13,0.00011725263036648635
F14,0.0
F15,0.0
F16,0.0
F17,0.0
F18,0.0
F19,0.0
F20,0.0
I1,5.372615743282301e-05
I2,0.0
I3,0.0
num_C,0.004905580701896381
num_H,0.027877192894311856
num_Cl,0.0027104453114679895
num_Br,0.00048815513769100724
num_F,0.001449148645001297
num_I,1.641811075856539e-05
num_D,0.0
num_O,0.015111971587408615
num_N,5.504302418211367e-05
electron_affinity,0.00040542599913167583
lowest_bde,0.47151313815992746
mean_bde,0.3910660985843294
